name,club,age,position,nationality,latitude,longitude
Edimilson Fernandes,West Ham,21,CM,Switzerland,46.8,8.2
Modou Barrow,Swansea,24,RW,The Gambia,13.4,-15.3
Andy Williams,Huddersfield,26,CB,Trinidad and Tobago,10.6,-61.2
Yohan Benalouane,Leicester City,30,CB,Tunisia,33.8,9.5
DeAndre Yedlin,Newcastle United,24,RB,United States,37,-95.7
Geoff Cameron,Stoke City,32,CB,United States,37,-95.7
Miguel Britos,Watford,32,CB,Uruguay,-32.5,-55.7
Salomon Rondon,West Brom,27,CF,Venezuela,6.4,-66.5
Aaron Ramsey,Arsenal,26,CM,Wales,52.1,-3.6
Sam Vokes,Burnley,27,CF,Wales,52.1,-3.6
Wayne Hennessey,Crystal Palace,30,GK,Wales,52.1,-3.6
Ashley Williams,Everton,32,CB,Wales,52.1,-3.6
Andy King,Leicester City,28,CM,Wales,52.1,-3.6
Ben Woodburn,Liverpool,17,LW,Wales,52.1,-3.6
Paul Dummett,Newcastle United,25,LB,Wales,52.1,-3.6
Joe Allen,Stoke City,27,CM,Wales,52.1,-3.6
Ben Davies,Tottenham,24,LB,Wales,52.1,-3.6
Hal Robson-Kanu,West Brom,28,LW,Wales,52.1,-3.6
Boaz Myhill,West Brom,34,GK,Wales,52.1,-3.6
James Collins,West Ham,33,CB,Wales,52.1,-3.6
