player,position,club,nationality,latitude,longitude
Florent Hadergjonaj,Defender,Huddersfield Town,Switzerland,46.8,8.2
Eldin Jakupovic,Goalkeeper,Leicester City,Switzerland,46.8,8.2
Xherdan Shaqiri,Midfielder,Stoke City,Switzerland,46.8,8.2
Edimilson Fernandes,Midfielder,West Ham United,Switzerland,46.8,8.2
Yohan Benalouane,Defender,Leicester City,Tunisia,33.8,9.5
Oleksandr Zinchenko,Midfielder,Manchester City,Ukraine,48.3,31.1
Emerson Hyndman,Midfielder,AFC Bournemouth,United States,37,-95.7
Kyle Scott,Midfielder,Chelsea,United States,37,-95.7
Danny Williams,Midfielder,Huddersfield Town,United States,37,-95.7
DeAndre Yedlin,Defender,Newcastle United,United States,37,-95.7
Geoff Cameron,Defender,Stoke City,United States,37,-95.7
Miguel Britos,Defender,Watford,Uruguay,-32.5,-55.7
Adalberto Penaranda,Forward,Watford,Venezuela,6.4,-66.5
Salomon Rondon,Forward,West Bromwich Albion,Venezuela,6.4,-66.5
Aaron Ramsey,Midfielder,Arsenal,Wales,52.1,-3.6
Sam Vokes,Forward,Burnley,Wales,52.1,-3.6
Ethan Ampadu,Midfielder,Chelsea,Wales,52.1,-3.6
Wayne Hennessey,Goalkeeper,Crystal Palace,Wales,52.1,-3.6
Ashley Williams,Defender,Everton,Wales,52.1,-3.6
Andy King,Midfielder,Leicester City,Wales,52.1,-3.6
Danny Ward,Goalkeeper,Liverpool,Wales,52.1,-3.6
Ben Woodburn,Midfielder,Liverpool,Wales,52.1,-3.6
Harry Wilson,Midfielder,Liverpool,Wales,52.1,-3.6
Paul Dummett,Defender,Newcastle United,Wales,52.1,-3.6
Joe Allen,Midfielder,Stoke City,Wales,52.1,-3.6
Joe Rodon,Defender,Swansea City,Wales,52.1,-3.6
Brandon Cooper,Defender,Swansea City,Wales,52.1,-3.6
Ben Davies,Defender,Tottenham Hotspur,Wales,52.1,-3.6
Boaz Myhill,Goalkeeper,West Bromwich Albion,Wales,52.1,-3.6
Hal Robson-Kanu,Forward,West Bromwich Albion,Wales,52.1,-3.6
James Collins,Defender,West Ham United,Wales,52.1,-3.6
